timestamp,id_cella,ship_t35,avg_t35,ship_t_60_69,avg_60_69,ship_t_70_79,avg_70_79,ship_t_others,avg_others
2015-04-04T14:48,D5,35,0.0,60-69,0.0,70-79,0.0,others,0.8571428571428571
2015-04-04T14:48,E17,35,0.0,60-69,0.0,70-79,0.0,others,1.0
2015-03-14T13:48,D1,35,0.0,60-69,0.0,70-79,0.0,others,83.28571428571429
2015-03-21T13:48,D1,35,0.0,60-69,0.0,70-79,0.0,others,116.42857142857143
2015-03-28T13:48,D1,35,0.0,60-69,0.0,70-79,0.0,others,88.57142857142857
2015-04-04T14:48,D1,35,0.0,60-69,0.0,70-79,0.0,others,104.28571428571429
2015-04-04T14:48,G9,35,0.0,60-69,0.0,70-79,23.571428571428573,others,0.0
2015-04-04T14:48,F10,35,0.0,60-69,0.0,70-79,17.714285714285715,others,0.0
2015-04-04T14:48,F11,35,0.0,60-69,0.0,70-79,3.7142857142857144,others,0.0
2015-04-04T14:48,G8,35,0.0,60-69,0.0,70-79,25.714285714285715,others,0.0
2015-04-04T14:48,E7,35,0.0,60-69,0.0,70-79,0.0,others,5.142857142857143
2015-04-04T14:48,F13,35,0.0,60-69,0.0,70-79,0.0,others,0.14285714285714285
2015-04-04T14:48,F7,35,0.0,60-69,0.0,70-79,0.0,others,1.5714285714285714
2015-04-04T14:48,D3,35,0.0,60-69,0.0,70-79,0.0,others,6.0
2015-04-04T14:48,E5,35,0.0,60-69,0.0,70-79,0.0,others,0.42857142857142855
2015-04-04T14:48,F9,35,0.0,60-69,0.0,70-79,0.0,others,7.0
2015-04-04T14:48,F8,35,0.0,60-69,0.0,70-79,0.0,others,21.571428571428573
2015-04-04T14:48,E6,35,0.0,60-69,0.0,70-79,0.0,others,0.14285714285714285
2015-04-04T14:48,G10,35,0.0,60-69,0.0,70-79,6.285714285714286,others,0.0
2015-04-04T14:48,F12,35,0.0,60-69,0.0,70-79,0.0,others,0.14285714285714285
2015-04-04T14:48,D4,35,0.0,60-69,0.0,70-79,0.0,others,12.285714285714286
2015-03-14T13:48,C1,35,0.0,60-69,0.0,70-79,0.0,others,0.14285714285714285
2015-04-04T14:48,G7,35,0.0,60-69,0.0,70-79,11.571428571428571,others,0.0
2015-04-04T14:48,C1,35,0.0,60-69,0.0,70-79,0.0,others,1.2857142857142858
2015-04-04T14:48,D2,35,0.0,60-69,0.0,70-79,0.0,others,39.285714285714285
2015-04-11T14:48,F11,35,0.0,60-69,0.0,70-79,8.857142857142858,others,7.142857142857143
2015-04-11T14:48,F10,35,0.0,60-69,0.0,70-79,0.0,others,14.428571428571429
2015-04-11T14:48,F15,35,0.0,60-69,0.0,70-79,1.1428571428571428,others,0.0
2015-04-11T14:48,D1,35,0.0,60-69,0.0,70-79,0.0,others,102.85714285714286
2015-04-11T14:48,H8,35,0.0,60-69,0.0,70-79,0.0,others,13.0
2015-04-11T14:48,G9,35,0.0,60-69,0.0,70-79,0.0,others,8.142857142857142
2015-04-11T14:48,I16,35,0.0,60-69,0.0,70-79,8.142857142857142,others,0.0
2015-04-11T14:48,D5,35,0.0,60-69,0.0,70-79,0.0,others,1.5714285714285714
2015-04-11T14:48,F9,35,0.0,60-69,0.0,70-79,0.0,others,243.14285714285714
2015-04-11T14:48,D3,35,0.0,60-69,0.0,70-79,0.0,others,6.285714285714286
2015-04-11T14:48,F16,35,0.0,60-69,0.0,70-79,0.5714285714285714,others,0.0
2015-04-11T14:48,G11,35,0.0,60-69,0.0,70-79,0.0,others,2.142857142857143
2015-04-11T14:48,F8,35,0.0,60-69,0.0,70-79,0.0,others,53.142857142857146
2015-04-11T14:48,D2,35,0.0,60-69,0.0,70-79,0.0,others,25.857142857142858
2015-04-11T14:48,E15,35,0.0,60-69,0.0,70-79,0.0,others,8.428571428571429
2015-04-11T14:48,G7,35,0.0,60-69,0.0,70-79,0.0,others,22.714285714285715
2015-04-11T14:48,C1,35,0.0,60-69,0.0,70-79,0.0,others,4.142857142857143
2015-04-11T14:48,G8,35,0.0,60-69,0.0,70-79,0.0,others,74.57142857142857
2015-04-11T14:48,E17,35,0.0,60-69,0.0,70-79,0.0,others,9.285714285714286
2015-04-11T14:48,E6,35,0.0,60-69,0.0,70-79,0.0,others,19.428571428571427
2015-04-11T14:48,D4,35,0.0,60-69,0.0,70-79,0.0,others,0.5714285714285714
2015-04-11T14:48,E12,35,0.0,60-69,0.0,70-79,0.0,others,14.857142857142858
2015-04-11T14:48,F12,35,0.0,60-69,0.0,70-79,22.714285714285715,others,4.142857142857143
2015-04-11T14:48,E16,35,0.0,60-69,0.0,70-79,0.0,others,18.857142857142858
2015-04-11T14:48,G10,35,0.0,60-69,0.0,70-79,0.0,others,1.5714285714285714
2015-04-11T14:48,F13,35,0.0,60-69,0.0,70-79,19.714285714285715,others,3.2857142857142856
2015-04-11T14:48,E7,35,0.0,60-69,0.0,70-79,0.0,others,9.0
2015-04-11T14:48,D17,35,0.0,60-69,0.0,70-79,0.0,others,25.714285714285715
2015-04-11T14:48,F7,35,0.0,60-69,0.0,70-79,0.0,others,41.42857142857143
2015-04-11T14:48,E11,35,0.0,60-69,0.0,70-79,0.0,others,0.8571428571428571
2015-04-11T14:48,E13,35,0.0,60-69,0.0,70-79,0.0,others,12.714285714285714
2015-04-11T14:48,E14,35,0.0,60-69,0.0,70-79,0.0,others,11.714285714285714
2015-04-11T14:48,F14,35,0.0,60-69,0.0,70-79,22.142857142857142,others,0.0
2015-04-18T14:48,C1,35,0.0,60-69,0.0,70-79,0.14285714285714285,others,13.857142857142858
2015-04-18T14:48,E15,35,0.0,60-69,0.0,70-79,2.4285714285714284,others,0.0
2015-04-18T14:48,H14,35,0.0,60-69,0.0,70-79,12.571428571428571,others,0.0
2015-04-18T14:48,G7,35,0.0,60-69,0.0,70-79,9.857142857142858,others,0.0
2015-04-18T14:48,D1,35,0.0,60-69,0.0,70-79,81.42857142857143,others,125.42857142857143
2015-04-18T14:48,H8,35,0.0,60-69,0.0,70-79,0.0,others,53.142857142857146
2015-04-18T14:48,H11,35,0.0,60-69,0.0,70-79,1.4285714285714286,others,1.1428571428571428
2015-04-18T14:48,G9,35,0.0,60-69,0.0,70-79,9.285714285714286,others,25.0
2015-04-18T14:48,I16,35,0.0,60-69,0.0,70-79,113.28571428571429,others,0.0
2015-04-18T14:48,F10,35,0.0,60-69,0.0,70-79,1.2857142857142858,others,1.7142857142857142
2015-04-18T14:48,F15,35,0.0,60-69,0.0,70-79,0.0,others,8.857142857142858
2015-04-18T14:48,F11,35,0.0,60-69,0.0,70-79,0.14285714285714285,others,0.0
2015-04-18T14:48,D5,35,0.0,60-69,0.0,70-79,4.571428571428571,others,3.5714285714285716
2015-04-18T14:48,J14,35,0.0,60-69,0.0,70-79,0.0,others,9.714285714285714
2015-04-18T14:48,D2,35,0.0,60-69,0.0,70-79,164.57142857142858,others,28.714285714285715
2015-04-18T14:48,H12,35,0.0,60-69,0.0,70-79,0.0,others,0.14285714285714285
2015-04-18T14:48,F8,35,0.0,60-69,0.0,70-79,1.0,others,25.714285714285715
2015-04-18T14:48,F9,35,0.0,60-69,0.0,70-79,13.0,others,280.42857142857144
2015-04-18T14:48,E5,35,0.0,60-69,0.0,70-79,0.0,others,2.2857142857142856
2015-04-18T14:48,F6,35,0.0,60-69,0.0,70-79,10.714285714285714,others,0.0
2015-04-18T14:48,D3,35,0.0,60-69,0.0,70-79,33.285714285714285,others,5.0
2015-04-18T14:48,F13,35,0.0,60-69,0.0,70-79,0.0,others,14.714285714285714
2015-04-18T14:48,E7,35,0.0,60-69,0.0,70-79,0.7142857142857143,others,0.0
2015-04-18T14:48,D9,35,0.0,60-69,0.0,70-79,2.0,others,0.0
2015-04-18T14:48,D17,35,0.0,60-69,0.0,70-79,3.4285714285714284,others,13.428571428571429
2015-04-18T14:48,D7,35,0.0,60-69,0.0,70-79,2.857142857142857,others,5.142857142857143
2015-04-18T14:48,G13,35,0.0,60-69,0.0,70-79,21.0,others,0.0
2015-04-18T14:48,E8,35,0.0,60-69,0.0,70-79,0.0,others,0.14285714285714285
2015-04-18T14:48,F7,35,0.0,60-69,0.0,70-79,6.0,others,12.142857142857142
2015-04-18T14:48,G11,35,0.0,60-69,0.0,70-79,0.0,others,1.8571428571428572
2015-04-18T14:48,E17,35,0.0,60-69,0.0,70-79,16.142857142857142,others,22.857142857142858
2015-04-18T14:48,G8,35,0.0,60-69,0.0,70-79,17.0,others,26.857142857142858
2015-04-18T14:48,E11,35,0.0,60-69,0.0,70-79,0.0,others,4.428571428571429
2015-04-18T14:48,H10,35,0.0,60-69,0.0,70-79,5.857142857142857,others,1.4285714285714286
2015-04-18T14:48,E6,35,0.0,60-69,0.0,70-79,9.285714285714286,others,4.285714285714286
2015-04-18T14:48,I13,35,0.0,60-69,0.0,70-79,0.0,others,2.5714285714285716
2015-04-18T14:48,D4,35,0.0,60-69,0.0,70-79,25.285714285714285,others,4.857142857142857
2015-04-18T14:48,H15,35,0.0,60-69,0.0,70-79,28.285714285714285,others,0.0
2015-04-18T14:48,E12,35,0.0,60-69,0.0,70-79,0.0,others,7.714285714285714
2015-04-18T14:48,G12,35,0.0,60-69,0.0,70-79,16.857142857142858,others,0.0
2015-04-18T14:48,H16,35,0.0,60-69,0.0,70-79,13.714285714285714,others,0.0
2015-04-18T14:48,E14,35,0.0,60-69,0.0,70-79,1.2857142857142858,others,26.571428571428573
2015-04-18T14:48,E13,35,0.0,60-69,0.0,70-79,0.2857142857142857,others,11.571428571428571
2015-04-18T14:48,E16,35,0.0,60-69,0.0,70-79,24.857142857142858,others,23.142857142857142
2015-04-18T14:48,F12,35,0.0,60-69,0.0,70-79,0.0,others,0.7142857142857143
2015-04-18T14:48,G10,35,0.0,60-69,0.0,70-79,0.0,others,12.714285714285714
2015-04-18T14:48,I12,35,0.0,60-69,0.0,70-79,0.0,others,1.2857142857142858
2015-04-18T14:48,D6,35,0.0,60-69,0.0,70-79,6.285714285714286,others,7.571428571428571
